customer_id,customer_name,customer_type,country,occupation_industry,kyc_risk,pep_flag,expected_monthly_volume,account_open_date
CUST1000,Customer 1,Individual,CA,Consulting,Low,0,4304.87,2024-01-24
CUST1001,Customer 2,Business,US,Logistics,Medium,0,1453.54,2020-10-15
CUST1002,Customer 3,Individual,GB,Student,Low,0,9230.29,2021-05-27
CUST1003,Customer 4,Individual,GB,Consulting,Low,0,11785.2,2021-11-07
CUST1004,Customer 5,Individual,GB,Technology,Low,0,3709.21,2023-04-28
CUST1005,Customer 6,Business,US,Retail,Low,0,3156.31,2022-05-27
CUST1006,Customer 7,Individual,US,Hospitality,Low,0,1271.07,2020-10-15
CUST1007,Customer 8,Business,US,Technology,Low,0,6465.0,2022-05-27
CUST1008,Customer 9,Individual,US,Construction,Low,0,21088.47,2021-06-16
CUST1009,Customer 10,Individual,GH,Healthcare,Low,0,5802.96,2020-08-18
CUST1010,Customer 11,Individual,US,Hospitality,Low,0,8278.42,2020-04-05
CUST1011,Customer 12,Individual,US,Healthcare,Medium,0,5178.95,2020-09-27
CUST1012,Customer 13,Individual,US,Education,Low,1,1919.35,2022-07-17
CUST1013,Customer 14,Individual,GB,Retail,Low,0,8680.52,2021-05-22
CUST1014,Customer 15,Individual,US,Student,Low,0,1631.94,2021-10-11
CUST1015,Customer 16,Individual,GH,Construction,Medium,0,3175.02,2024-02-18
CUST1016,Customer 17,Business,MX,Hospitality,Low,0,4364.48,2023-07-26
CUST1017,Customer 18,Individual,US,Student,Low,0,6463.27,2021-11-15
CUST1018,Customer 19,Individual,US,Technology,Medium,0,4771.38,2022-10-12
CUST1019,Customer 20,Business,NG,Education,Low,0,4681.82,2019-04-03
CUST1020,Customer 21,Individual,SG,Construction,High,0,2219.49,2021-09-08
CUST1021,Customer 22,Individual,US,Logistics,High,0,1574.84,2021-12-21
CUST1022,Customer 23,Individual,GB,Consulting,Low,0,3789.4,2020-12-14
CUST1023,Customer 24,Individual,GH,Finance,Medium,0,2294.74,2020-04-28
CUST1024,Customer 25,Individual,MX,Retail,Low,0,1556.1,2023-11-13
CUST1025,Customer 26,Individual,US,Logistics,Low,0,1599.0,2019-01-30
CUST1026,Customer 27,Individual,US,Healthcare,Low,0,2647.62,2025-06-02
CUST1027,Customer 28,Business,SG,Construction,Medium,0,1092.06,2025-06-02
CUST1028,Customer 29,Individual,US,Retail,High,0,1516.48,2023-02-09
CUST1029,Customer 30,Individual,US,Technology,Low,0,1257.85,2020-12-05
CUST1030,Customer 31,Individual,US,Technology,Medium,0,4098.88,2020-12-06
CUST1031,Customer 32,Individual,US,Consulting,Low,0,4746.63,2022-07-13
CUST1032,Customer 33,Individual,GB,Student,Low,1,13421.88,2023-05-25
CUST1033,Customer 34,Individual,US,Education,High,0,1375.55,2021-05-09
CUST1034,Customer 35,Individual,MX,Technology,Medium,0,2340.83,2021-11-22
CUST1035,Customer 36,Individual,US,Healthcare,Low,0,6589.27,2019-05-09
CUST1036,Customer 37,Individual,NG,Technology,High,0,3162.43,2024-10-27
CUST1037,Customer 38,Individual,US,Consulting,Low,0,2943.78,2024-12-02
CUST1038,Customer 39,Business,US,Technology,Low,0,11058.56,2020-09-21
CUST1039,Customer 40,Individual,US,Finance,Low,0,2922.04,2025-02-23
CUST1040,Customer 41,Individual,US,Consulting,High,0,1717.24,2024-07-28
CUST1041,Customer 42,Business,US,Education,Low,0,1546.87,2020-03-23
CUST1042,Customer 43,Individual,GB,Education,High,0,4528.75,2020-01-03
CUST1043,Customer 44,Business,US,Education,Medium,0,4439.99,2021-09-30
CUST1044,Customer 45,Individual,US,Consulting,Low,0,1492.78,2023-07-19
CUST1045,Customer 46,Individual,SG,Student,Low,0,1918.87,2021-06-15
CUST1046,Customer 47,Individual,AE,Consulting,Low,0,5154.18,2023-10-25
CUST1047,Customer 48,Individual,MX,Education,Low,0,5298.74,2020-02-06
CUST1048,Customer 49,Individual,US,Consulting,Medium,0,2396.84,2025-01-31
CUST1049,Customer 50,Business,US,Consulting,Medium,0,5455.83,2023-05-07
CUST1050,Customer 51,Individual,US,Construction,High,0,5280.13,2020-08-23
CUST1051,Customer 52,Individual,US,Healthcare,Low,0,1142.53,2024-02-20
CUST1052,Customer 53,Individual,US,Retail,Medium,0,2972.5,2021-09-11
CUST1053,Customer 54,Individual,US,Logistics,Low,0,4768.71,2023-12-29
CUST1054,Customer 55,Individual,US,Hospitality,Medium,0,2508.65,2023-08-14
CUST1055,Customer 56,Individual,US,Healthcare,High,0,906.59,2023-06-09
CUST1056,Customer 57,Individual,AE,Student,High,0,3029.16,2019-10-18
CUST1057,Customer 58,Individual,US,Hospitality,Low,0,5936.41,2019-02-11
CUST1058,Customer 59,Business,US,Retail,Low,0,10170.67,2023-08-07
CUST1059,Customer 60,Individual,CA,Technology,High,0,876.55,2020-07-05
CUST1060,Customer 61,Individual,US,Hospitality,High,0,19903.66,2019-06-10
CUST1061,Customer 62,Individual,US,Hospitality,Low,0,1749.98,2022-05-20
CUST1062,Customer 63,Individual,US,Healthcare,High,0,6782.03,2025-02-20
CUST1063,Customer 64,Individual,US,Logistics,Low,0,8121.16,2023-08-14
CUST1064,Customer 65,Individual,CA,Hospitality,Low,0,6897.82,2020-12-22
CUST1065,Customer 66,Individual,US,Technology,Medium,0,4012.83,2021-07-16
CUST1066,Customer 67,Individual,US,Healthcare,Low,0,1711.42,2023-08-03
CUST1067,Customer 68,Individual,NG,Education,Low,0,5471.25,2021-12-14
CUST1068,Customer 69,Business,AE,Consulting,Low,1,2287.23,2022-09-02
CUST1069,Customer 70,Individual,US,Consulting,Low,0,706.45,2024-07-10
CUST1070,Customer 71,Individual,US,Logistics,Low,0,22897.53,2019-05-17
CUST1071,Customer 72,Individual,US,Finance,Low,0,5769.07,2019-02-26
CUST1072,Customer 73,Business,SG,Student,Medium,0,11869.77,2024-11-06
CUST1073,Customer 74,Individual,MX,Retail,Low,0,2013.13,2020-10-06
CUST1074,Customer 75,Individual,US,Hospitality,Medium,0,9451.01,2024-05-27
CUST1075,Customer 76,Business,SG,Finance,Medium,0,10233.43,2020-11-26
CUST1076,Customer 77,Business,US,Retail,Low,0,10001.17,2024-07-26
CUST1077,Customer 78,Business,US,Construction,Low,0,3591.11,2025-07-10
CUST1078,Customer 79,Individual,US,Consulting,Low,0,1666.36,2025-01-19
CUST1079,Customer 80,Individual,MX,Logistics,Low,0,3244.6,2020-06-30
CUST1080,Customer 81,Individual,US,Student,Medium,0,869.75,2022-05-26
CUST1081,Customer 82,Business,US,Education,Low,0,1204.35,2019-04-24
CUST1082,Customer 83,Individual,US,Consulting,Low,0,3865.17,2020-10-02
CUST1083,Customer 84,Individual,US,Consulting,Medium,0,1911.4,2021-09-26
CUST1084,Customer 85,Business,US,Student,Low,0,3271.85,2019-03-28
CUST1085,Customer 86,Individual,US,Finance,Low,0,3391.92,2023-04-08
CUST1086,Customer 87,Individual,AE,Education,Medium,0,12771.52,2020-04-07
CUST1087,Customer 88,Individual,NG,Consulting,Medium,0,8462.99,2020-01-04
CUST1088,Customer 89,Individual,GH,Healthcare,Low,0,3536.29,2023-04-12
CUST1089,Customer 90,Individual,NG,Retail,Medium,0,7988.71,2024-07-08
CUST1090,Customer 91,Individual,GB,Construction,Low,0,2193.35,2025-07-21
CUST1091,Customer 92,Business,GH,Consulting,Low,0,2924.9,2020-04-16
CUST1092,Customer 93,Individual,CA,Healthcare,Low,0,6579.05,2024-02-07
CUST1093,Customer 94,Individual,GB,Finance,Low,0,1624.44,2023-08-18
CUST1094,Customer 95,Individual,US,Healthcare,Low,0,3037.11,2024-05-05
CUST1095,Customer 96,Individual,US,Retail,Medium,0,1542.95,2020-01-24
CUST1096,Customer 97,Individual,GB,Healthcare,Medium,0,3929.85,2022-02-23
CUST1097,Customer 98,Individual,US,Technology,Low,0,10521.07,2024-10-17
CUST1098,Customer 99,Individual,MX,Retail,Medium,0,2233.08,2022-10-09
CUST1099,Customer 100,Individual,US,Student,Low,0,4216.76,2020-04-28
CUST1100,Customer 101,Business,US,Hospitality,High,0,2031.93,2019-01-02
CUST1101,Customer 102,Individual,MX,Consulting,Low,0,1724.67,2023-10-22
CUST1102,Customer 103,Individual,US,Education,Low,0,1630.59,2019-06-13
CUST1103,Customer 104,Individual,US,Education,Low,0,9373.0,2024-07-05
CUST1104,Customer 105,Business,US,Student,High,0,16908.69,2023-04-29
CUST1105,Customer 106,Individual,SG,Consulting,Low,0,4983.95,2020-09-03
CUST1106,Customer 107,Individual,US,Construction,Medium,0,2285.66,2020-05-23
CUST1107,Customer 108,Individual,NG,Education,High,0,5757.04,2019-08-11
CUST1108,Customer 109,Individual,US,Logistics,High,0,2929.8,2021-03-23
CUST1109,Customer 110,Individual,NG,Construction,Low,0,6129.75,2022-11-07
